line 0: me: X, them: C me: Rock, them: Scissors value: 7
line 87: me: Z, them: C me: Scissors, them: Scissors value: 6
line 88: me: Z, them: C me: Scissors, them: Scissors value: 6
line 89: me: Y, them: A me: Paper, them: Rock value: 8
line 90: me: Z, them: A me: Scissors, them: Rock value: 3
line 91: me: Z, them: C me: Scissors, them: Scissors value: 6
line 92: me: Z, them: C me: Scissors, them: Scissors value: 6
line 93: me: Y, them: A me: Paper, them: Rock value: 8
line 94: me: Z, them: C me: Scissors, them: Scissors value: 6
line 95: me: Y, them: C me: Paper, them: Scissors value: 2
line 96: me: Y, them: B me: Paper, them: Paper value: 5
line 97: me: Y, them: B me: Paper, them: Paper value: 5
line 98: me: Z, them: A me: Scissors, them: Rock value: 3
line 99: me: Y, them: A me: Paper, them: Rock value: 8
line 100: me: Z, them: C me: Scissors, them: Scissors value: 6
line 101: me: Z, them: C me: Scissors, them: Scissors value: 6
line 102: me: Z, them: A me: Scissors, them: Rock value: 3
line 103: me: Z, them: C me: Scissors, them: Scissors value: 6
line 104: me: Y, them: A me: Paper, them: Rock value: 8
line 105: me: Z, them: B me: Scissors, them: Paper value: 9
line 106: me: X, them: C me: Rock, them: Scissors value: 7
line 107: me: Z, them: C me: Scissors, them: Scissors value: 6
line 108: me: X, them: C me: Rock, them: Scissors value: 7
line 109: me: Y, them: B me: Paper, them: Paper value: 5
line 110: me: Z, them: C me: Scissors, them: Scissors value: 6
line 111: me: X, them: C me: Rock, them: Scissors value: 7
line 112: me: Y, them: B me: Paper, them: Paper value: 5
line 113: me: X, them: B me: Rock, them: Paper value: 1
line 114: me: Y, them: A me: Paper, them: Rock value: 8
line 115: me: Z, them: C me: Scissors, them: Scissors value: 6
line 116: me: Z, them: C me: Scissors, them: Scissors value: 6
line 117: me: Z, them: C me: Scissors, them: Scissors value: 6
line 118: me: Z, them: B me: Scissors, them: Paper value: 9
line 119: me: Y, them: A me: Paper, them: Rock value: 8
line 120: me: Z, them: C me: Scissors, them: Scissors value: 6
line 121: me: Z, them: C me: Scissors, them: Scissors value: 6
line 122: me: X, them: C me: Rock, them: Scissors value: 7
line 123: me: Z, them: C me: Scissors, them: Scissors value: 6
line 124: me: X, them: C me: Rock, them: Scissors value: 7
line 125: me: Y, them: A me: Paper, them: Rock value: 8
line 126: me: Z, them: C me: Scissors, them: Scissors value: 6
line 127: me: Z, them: C me: Scissors, them: Scissors value: 6
line 128: me: X, them: C me: Rock, them: Scissors value: 7
line 129: me: Y, them: B me: Paper, them: Paper value: 5
line 130: me: X, them: B me: Rock, them: Paper value: 1
line 131: me: Y, them: B me: Paper, them: Paper value: 5
line 132: me: Z, them: C me: Scissors, them: Scissors value: 6
line 133: me: X, them: C me: Rock, them: Scissors value: 7
line 134: me: X, them: B me: Rock, them: Paper value: 1
line 135: me: Z, them: C me: Scissors, them: Scissors value: 6
line 136: me: Z, them: C me: Scissors, them: Scissors value: 6
line 137: me: Y, them: A me: Paper, them: Rock value: 8
line 138: me: Z, them: C me: Scissors, them: Scissors value: 6
line 139: me: Z, them: A me: Scissors, them: Rock value: 3
line 140: me: Y, them: A me: Paper, them: Rock value: 8
line 141: me: Z, them: C me: Scissors, them: Scissors value: 6
line 142: me: Y, them: A me: Paper, them: Rock value: 8
line 143: me: X, them: C me: Rock, them: Scissors value: 7
line 144: me: Y, them: A me: Paper, them: Rock value: 8
line 145: me: Y, them: C me: Paper, them: Scissors value: 2
line 146: me: Z, them: A me: Scissors, them: Rock value: 3
line 147: me: X, them: C me: Rock, them: Scissors value: 7
line 148: me: X, them: C me: Rock, them: Scissors value: 7
line 149: me: Y, them: B me: Paper, them: Paper value: 5
line 150: me: Y, them: B me: Paper, them: Paper value: 5
line 151: me: Y, them: A me: Paper, them: Rock value: 8
line 152: me: Z, them: A me: Scissors, them: Rock value: 3
line 153: me: Z, them: C me: Scissors, them: Scissors value: 6
line 154: me: X, them: C me: Rock, them: Scissors value: 7
line 155: me: Z, them: C me: Scissors, them: Scissors value: 6
line 156: me: Y, them: A me: Paper, them: Rock value: 8
line 157: me: Y, them: B me: Paper, them: Paper value: 5
line 158: me: Y, them: A me: Paper, them: Rock value: 8
line 159: me: X, them: B me: Rock, them: Paper value: 1
line 160: me: Z, them: C me: Scissors, them: Scissors value: 6
line 161: me: Z, them: C me: Scissors, them: Scissors value: 6
line 162: me: Z, them: A me: Scissors, them: Rock value: 3
line 163: me: Y, them: A me: Paper, them: Rock value: 8
line 164: me: X, them: C me: Rock, them: Scissors value: 7
line 165: me: X, them: C me: Rock, them: Scissors value: 7
line 166: me: X, them: C me: Rock, them: Scissors value: 7
line 167: me: Z, them: A me: Scissors, them: Rock value: 3
line 168: me: Y, them: B me: Paper, them: Paper value: 5
line 169: me: Z, them: C me: Scissors, them: Scissors value: 6
line 170: me: Z, them: C me: Scissors, them: Scissors value: 6
line 171: me: Z, them: C me: Scissors, them: Scissors value: 6
line 172: me: X, them: C me: Rock, them: Scissors value: 7
line 173: me: Z, them: B me: Scissors, them: Paper value: 9
line 174: me: Z, them: C me: Scissors, them: Scissors value: 6
line 175: me: Z, them: C me: Scissors, them: Scissors value: 6
line 176: me: Z, them: B me: Scissors, them: Paper value: 9
line 177: me: Z, them: C me: Scissors, them: Scissors value: 6
line 178: me: Z, them: A me: Scissors, them: Rock value: 3
line 179: me: Y, them: B me: Paper, them: Paper value: 5
line 180: me: Y, them: A me: Paper, them: Rock value: 8
line 181: me: Z, them: C me: Scissors, them: Scissors value: 6
line 182: me: Y, them: B me: Paper, them: Paper value: 5
line 183: me: X, them: B me: Rock, them: Paper value: 1
line 184: me: X, them: B me: Rock, them: Paper value: 1
line 185: me: X, them: C me: Rock, them: Scissors value: 7
line 186: me: Z, them: C me: Scissors, them: Scissors value: 6
line 187: me: X, them: A me: Rock, them: Rock value: 4
line 188: me: Z, them: C me: Scissors, them: Scissors value: 6
line 189: me: X, them: C me: Rock, them: Scissors value: 7
line 190: me: X, them: C me: Rock, them: Scissors value: 7
line 191: me: X, them: C me: Rock, them: Scissors value: 7
line 192: me: X, them: C me: Rock, them: Scissors value: 7
line 193: me: X, them: C me: Rock, them: Scissors value: 7
line 194: me: Y, them: B me: Paper, them: Paper value: 5
line 195: me: X, them: C me: Rock, them: Scissors value: 7
line 196: me: X, them: C me: Rock, them: Scissors value: 7
line 197: me: Y, them: A me: Paper, them: Rock value: 8
line 198: me: Y, them: A me: Paper, them: Rock value: 8
line 199: me: Z, them: C me: Scissors, them: Scissors value: 6
line 200: me: Z, them: C me: Scissors, them: Scissors value: 6
line 201: me: X, them: B me: Rock, them: Paper value: 1
line 202: me: Z, them: C me: Scissors, them: Scissors value: 6
line 203: me: Z, them: C me: Scissors, them: Scissors value: 6
line 204: me: Z, them: C me: Scissors, them: Scissors value: 6
line 205: me: Z, them: C me: Scissors, them: Scissors value: 6
line 206: me: Z, them: A me: Scissors, them: Rock value: 3
line 207: me: Z, them: C me: Scissors, them: Scissors value: 6
line 208: me: Z, them: A me: Scissors, them: Rock value: 3
line 209: me: Y, them: B me: Paper, them: Paper value: 5
line 210: me: Y, them: B me: Paper, them: Paper value: 5
line 211: me: Z, them: C me: Scissors, them: Scissors value: 6
line 212: me: Y, them: B me: Paper, them: Paper value: 5
line 213: me: Z, them: C me: Scissors, them: Scissors value: 6
line 214: me: Z, them: C me: Scissors, them: Scissors value: 6
line 215: me: Z, them: C me: Scissors, them: Scissors value: 6
line 216: me: X, them: C me: Rock, them: Scissors value: 7
line 217: me: Y, them: B me: Paper, them: Paper value: 5
line 218: me: Y, them: B me: Paper, them: Paper value: 5
line 219: me: Z, them: C me: Scissors, them: Scissors value: 6
line 220: me: Z, them: A me: Scissors, them: Rock value: 3
line 221: me: Z, them: C me: Scissors, them: Scissors value: 6
line 222: me: X, them: C me: Rock, them: Scissors value: 7
line 223: me: Y, them: B me: Paper, them: Paper value: 5
line 224: me: Z, them: C me: Scissors, them: Scissors value: 6
line 225: me: Z, them: A me: Scissors, them: Rock value: 3
line 226: me: Z, them: C me: Scissors, them: Scissors value: 6
line 227: me: X, them: C me: Rock, them: Scissors value: 7
line 228: me: Z, them: C me: Scissors, them: Scissors value: 6
line 229: me: Z, them: C me: Scissors, them: Scissors value: 6
line 230: me: X, them: C me: Rock, them: Scissors value: 7
line 231: me: X, them: C me: Rock, them: Scissors value: 7
line 232: me: Z, them: B me: Scissors, them: Paper value: 9
line 233: me: Y, them: A me: Paper, them: Rock value: 8
line 234: me: X, them: B me: Rock, them: Paper value: 1
line 235: me: Z, them: C me: Scissors, them: Scissors value: 6
line 236: me: Y, them: B me: Paper, them: Paper value: 5
line 237: me: X, them: C me: Rock, them: Scissors value: 7
line 238: me: X, them: C me: Rock, them: Scissors value: 7
line 239: me: Z, them: C me: Scissors, them: Scissors value: 6
line 240: me: Z, them: C me: Scissors, them: Scissors value: 6
line 241: me: X, them: B me: Rock, them: Paper value: 1
line 242: me: X, them: B me: Rock, them: Paper value: 1
line 243: me: Y, them: B me: Paper, them: Paper value: 5
line 244: me: X, them: A me: Rock, them: Rock value: 4
line 245: me: X, them: C me: Rock, them: Scissors value: 7
line 246: me: Z, them: A me: Scissors, them: Rock value: 3
line 247: me: Z, them: A me: Scissors, them: Rock value: 3
line 248: me: Z, them: C me: Scissors, them: Scissors value: 6
line 249: me: Y, them: B me: Paper, them: Paper value: 5
line 250: me: Z, them: C me: Scissors, them: Scissors value: 6
line 251: me: Z, them: A me: Scissors, them: Rock value: 3
line 252: me: X, them: B me: Rock, them: Paper value: 1
line 253: me: X, them: C me: Rock, them: Scissors value: 7
line 254: me: Y, them: B me: Paper, them: Paper value: 5
line 255: me: Z, them: A me: Scissors, them: Rock value: 3
line 256: me: X, them: C me: Rock, them: Scissors value: 7
line 257: me: X, them: A me: Rock, them: Rock value: 4
line 258: me: Z, them: A me: Scissors, them: Rock value: 3
line 259: me: Y, them: B me: Paper, them: Paper value: 5
line 260: me: X, them: B me: Rock, them: Paper value: 1
line 261: me: Y, them: B me: Paper, them: Paper value: 5
line 262: me: Y, them: A me: Paper, them: Rock value: 8
line 263: me: Z, them: C me: Scissors, them: Scissors value: 6
line 264: me: Z, them: C me: Scissors, them: Scissors value: 6
line 265: me: X, them: B me: Rock, them: Paper value: 1
line 266: me: Z, them: C me: Scissors, them: Scissors value: 6
line 267: me: X, them: C me: Rock, them: Scissors value: 7
line 268: me: Y, them: B me: Paper, them: Paper value: 5
line 269: me: Z, them: C me: Scissors, them: Scissors value: 6
line 270: me: Z, them: C me: Scissors, them: Scissors value: 6
line 271: me: Y, them: A me: Paper, them: Rock value: 8
line 272: me: Y, them: B me: Paper, them: Paper value: 5
line 273: me: Z, them: A me: Scissors, them: Rock value: 3
line 274: me: Y, them: A me: Paper, them: Rock value: 8
line 275: me: X, them: C me: Rock, them: Scissors value: 7
line 276: me: X, them: C me: Rock, them: Scissors value: 7
line 277: me: Z, them: C me: Scissors, them: Scissors value: 6
line 278: me: Z, them: A me: Scissors, them: Rock value: 3
line 279: me: Z, them: C me: Scissors, them: Scissors value: 6
line 280: me: Z, them: B me: Scissors, them: Paper value: 9
line 281: me: Z, them: A me: Scissors, them: Rock value: 3
line 282: me: Y, them: A me: Paper, them: Rock value: 8
line 283: me: X, them: C me: Rock, them: Scissors value: 7
line 284: me: Z, them: C me: Scissors, them: Scissors value: 6
line 285: me: X, them: C me: Rock, them: Scissors value: 7
line 286: me: Z, them: B me: Scissors, them: Paper value: 9
line 287: me: Z, them: C me: Scissors, them: Scissors value: 6
line 288: me: Y, them: B me: Paper, them: Paper value: 5
line 289: me: Y, them: A me: Paper, them: Rock value: 8
line 290: me: X, them: B me: Rock, them: Paper value: 1
line 291: me: Y, them: A me: Paper, them: Rock value: 8
line 292: me: Z, them: C me: Scissors, them: Scissors value: 6
line 293: me: Y, them: A me: Paper, them: Rock value: 8
line 294: me: Z, them: C me: Scissors, them: Scissors value: 6
line 295: me: X, them: C me: Rock, them: Scissors value: 7
line 296: me: Y, them: B me: Paper, them: Paper value: 5
line 297: me: X, them: C me: Rock, them: Scissors value: 7
line 298: me: Y, them: A me: Paper, them: Rock value: 8
line 299: me: Z, them: A me: Scissors, them: Rock value: 3
line 300: me: Z, them: C me: Scissors, them: Scissors value: 6
line 301: me: Y, them: B me: Paper, them: Paper value: 5
line 302: me: X, them: C me: Rock, them: Scissors value: 7
line 303: me: Y, them: A me: Paper, them: Rock value: 8
line 304: me: X, them: C me: Rock, them: Scissors value: 7
line 305: me: Z, them: C me: Scissors, them: Scissors value: 6
line 306: me: X, them: C me: Rock, them: Scissors value: 7
line 307: me: Y, them: B me: Paper, them: Paper value: 5
line 308: me: X, them: C me: Rock, them: Scissors value: 7
line 309: me: Z, them: C me: Scissors, them: Scissors value: 6
line 310: me: Z, them: C me: Scissors, them: Scissors value: 6
line 311: me: Z, them: A me: Scissors, them: Rock value: 3
line 312: me: Y, them: B me: Paper, them: Paper value: 5
line 313: me: X, them: C me: Rock, them: Scissors value: 7
line 314: me: X, them: B me: Rock, them: Paper value: 1
line 315: me: Z, them: A me: Scissors, them: Rock value: 3
line 316: me: X, them: C me: Rock, them: Scissors value: 7
line 317: me: X, them: C me: Rock, them: Scissors value: 7
line 318: me: Y, them: A me: Paper, them: Rock value: 8
line 319: me: X, them: B me: Rock, them: Paper value: 1
line 320: me: X, them: C me: Rock, them: Scissors value: 7
line 321: me: Z, them: A me: Scissors, them: Rock value: 3
line 322: me: Z, them: C me: Scissors, them: Scissors value: 6
line 323: me: Z, them: C me: Scissors, them: Scissors value: 6
line 324: me: Z, them: C me: Scissors, them: Scissors value: 6
line 325: me: Y, them: B me: Paper, them: Paper value: 5
line 326: me: Y, them: A me: Paper, them: Rock value: 8
line 327: me: X, them: C me: Rock, them: Scissors value: 7
line 328: me: Z, them: C me: Scissors, them: Scissors value: 6
line 329: me: Z, them: C me: Scissors, them: Scissors value: 6
line 330: me: Z, them: A me: Scissors, them: Rock value: 3
line 331: me: Z, them: C me: Scissors, them: Scissors value: 6
line 332: me: Y, them: A me: Paper, them: Rock value: 8
line 333: me: X, them: C me: Rock, them: Scissors value: 7
line 334: me: X, them: C me: Rock, them: Scissors value: 7
line 335: me: X, them: C me: Rock, them: Scissors value: 7
line 336: me: Z, them: A me: Scissors, them: Rock value: 3
line 337: me: Y, them: B me: Paper, them: Paper value: 5
line 338: me: Z, them: C me: Scissors, them: Scissors value: 6
line 339: me: Y, them: A me: Paper, them: Rock value: 8
line 340: me: Z, them: C me: Scissors, them: Scissors value: 6
line 341: me: Z, them: C me: Scissors, them: Scissors value: 6
line 342: me: X, them: C me: Rock, them: Scissors value: 7
line 343: me: Z, them: C me: Scissors, them: Scissors value: 6
line 344: me: Z, them: A me: Scissors, them: Rock value: 3
line 345: me: Z, them: C me: Scissors, them: Scissors value: 6
line 346: me: Y, them: B me: Paper, them: Paper value: 5
line 347: me: X, them: C me: Rock, them: Scissors value: 7
line 348: me: X, them: C me: Rock, them: Scissors value: 7
line 349: me: Z, them: C me: Scissors, them: Scissors value: 6
line 350: me: Z, them: B me: Scissors, them: Paper value: 9
line 351: me: Y, them: B me: Paper, them: Paper value: 5
line 352: me: X, them: C me: Rock, them: Scissors value: 7
line 353: me: X, them: C me: Rock, them: Scissors value: 7
line 354: me: Y, them: A me: Paper, them: Rock value: 8
line 355: me: Z, them: A me: Scissors, them: Rock value: 3
line 356: me: Z, them: A me: Scissors, them: Rock value: 3
line 357: me: X, them: A me: Rock, them: Rock value: 4
line 358: me: X, them: C me: Rock, them: Scissors value: 7
line 359: me: Y, them: A me: Paper, them: Rock value: 8
line 360: me: Y, them: B me: Paper, them: Paper value: 5
line 361: me: Y, them: A me: Paper, them: Rock value: 8
line 362: me: Z, them: A me: Scissors, them: Rock value: 3
line 363: me: Y, them: B me: Paper, them: Paper value: 5
line 364: me: Y, them: B me: Paper, them: Paper value: 5
line 365: me: Y, them: A me: Paper, them: Rock value: 8
line 366: me: Y, them: B me: Paper, them: Paper value: 5
line 367: me: X, them: C me: Rock, them: Scissors value: 7
line 368: me: Z, them: A me: Scissors, them: Rock value: 3
line 369: me: X, them: B me: Rock, them: Paper value: 1
line 370: me: Z, them: C me: Scissors, them: Scissors value: 6
line 371: me: Z, them: A me: Scissors, them: Rock value: 3
line 372: me: X, them: B me: Rock, them: Paper value: 1
line 373: me: Y, them: A me: Paper, them: Rock value: 8
line 374: me: X, them: B me: Rock, them: Paper value: 1
line 375: me: Y, them: B me: Paper, them: Paper value: 5
line 376: me: Y, them: A me: Paper, them: Rock value: 8
line 377: me: X, them: A me: Rock, them: Rock value: 4
line 378: me: Z, them: C me: Scissors, them: Scissors value: 6
line 379: me: Z, them: B me: Scissors, them: Paper value: 9
line 380: me: X, them: B me: Rock, them: Paper value: 1
line 381: me: Z, them: B me: Scissors, them: Paper value: 9
line 382: me: Z, them: C me: Scissors, them: Scissors value: 6
line 383: me: X, them: C me: Rock, them: Scissors value: 7
line 384: me: X, them: B me: Rock, them: Paper value: 1
line 385: me: Y, them: B me: Paper, them: Paper value: 5
line 386: me: Y, them: A me: Paper, them: Rock value: 8
line 387: me: Y, them: B me: Paper, them: Paper value: 5
line 388: me: Y, them: B me: Paper, them: Paper value: 5
line 389: me: Y, them: B me: Paper, them: Paper value: 5
line 390: me: Z, them: A me: Scissors, them: Rock value: 3
line 391: me: Y, them: A me: Paper, them: Rock value: 8
line 392: me: X, them: B me: Rock, them: Paper value: 1
line 393: me: Y, them: A me: Paper, them: Rock value: 8
line 394: me: X, them: C me: Rock, them: Scissors value: 7
line 395: me: Y, them: B me: Paper, them: Paper value: 5
line 396: me: X, them: B me: Rock, them: Paper value: 1
line 397: me: Y, them: B me: Paper, them: Paper value: 5
line 398: me: X, them: C me: Rock, them: Scissors value: 7
line 399: me: Y, them: A me: Paper, them: Rock value: 8
line 400: me: X, them: C me: Rock, them: Scissors value: 7
line 401: me: Y, them: A me: Paper, them: Rock value: 8
line 402: me: Z, them: C me: Scissors, them: Scissors value: 6
line 403: me: Z, them: C me: Scissors, them: Scissors value: 6
line 404: me: Z, them: A me: Scissors, them: Rock value: 3
line 405: me: Z, them: C me: Scissors, them: Scissors value: 6
line 406: me: X, them: C me: Rock, them: Scissors value: 7
line 407: me: X, them: C me: Rock, them: Scissors value: 7
line 408: me: Z, them: A me: Scissors, them: Rock value: 3
line 409: me: X, them: C me: Rock, them: Scissors value: 7
line 410: me: X, them: C me: Rock, them: Scissors value: 7
line 411: me: X, them: C me: Rock, them: Scissors value: 7
line 412: me: Y, them: A me: Paper, them: Rock value: 8
line 413: me: Z, them: A me: Scissors, them: Rock value: 3
line 414: me: Z, them: A me: Scissors, them: Rock value: 3
line 415: me: Z, them: C me: Scissors, them: Scissors value: 6
line 416: me: X, them: B me: Rock, them: Paper value: 1
line 417: me: X, them: C me: Rock, them: Scissors value: 7
line 418: me: X, them: C me: Rock, them: Scissors value: 7
line 419: me: Z, them: C me: Scissors, them: Scissors value: 6
line 420: me: Y, them: A me: Paper, them: Rock value: 8
line 421: me: X, them: C me: Rock, them: Scissors value: 7
line 422: me: X, them: C me: Rock, them: Scissors value: 7
line 423: me: X, them: B me: Rock, them: Paper value: 1
line 424: me: Z, them: C me: Scissors, them: Scissors value: 6
line 425: me: Z, them: C me: Scissors, them: Scissors value: 6
line 426: me: X, them: C me: Rock, them: Scissors value: 7
line 427: me: Z, them: B me: Scissors, them: Paper value: 9
line 428: me: X, them: C me: Rock, them: Scissors value: 7
line 429: me: X, them: C me: Rock, them: Scissors value: 7
line 430: me: Z, them: C me: Scissors, them: Scissors value: 6
line 431: me: Y, them: A me: Paper, them: Rock value: 8
line 432: me: X, them: C me: Rock, them: Scissors value: 7
line 433: me: Z, them: A me: Scissors, them: Rock value: 3
line 434: me: Z, them: C me: Scissors, them: Scissors value: 6
line 435: me: X, them: C me: Rock, them: Scissors value: 7
line 436: me: X, them: B me: Rock, them: Paper value: 1
line 437: me: Y, them: B me: Paper, them: Paper value: 5
line 438: me: X, them: C me: Rock, them: Scissors value: 7
line 439: me: Z, them: C me: Scissors, them: Scissors value: 6
line 440: me: X, them: C me: Rock, them: Scissors value: 7
line 441: me: Z, them: C me: Scissors, them: Scissors value: 6
line 442: me: Z, them: A me: Scissors, them: Rock value: 3
line 443: me: Z, them: C me: Scissors, them: Scissors value: 6
line 444: me: X, them: C me: Rock, them: Scissors value: 7
line 445: me: Z, them: C me: Scissors, them: Scissors value: 6
line 446: me: Z, them: C me: Scissors, them: Scissors value: 6
line 447: me: Z, them: A me: Scissors, them: Rock value: 3
line 448: me: X, them: B me: Rock, them: Paper value: 1
line 449: me: X, them: C me: Rock, them: Scissors value: 7
line 450: me: Z, them: C me: Scissors, them: Scissors value: 6
line 451: me: X, them: C me: Rock, them: Scissors value: 7
line 452: me: X, them: C me: Rock, them: Scissors value: 7
line 453: me: Z, them: C me: Scissors, them: Scissors value: 6
line 454: me: X, them: C me: Rock, them: Scissors value: 7
line 455: me: Z, them: C me: Scissors, them: Scissors value: 6
line 456: me: Z, them: A me: Scissors, them: Rock value: 3
line 457: me: Z, them: A me: Scissors, them: Rock value: 3
line 458: me: Z, them: A me: Scissors, them: Rock value: 3
line 459: me: Z, them: C me: Scissors, them: Scissors value: 6
line 460: me: X, them: C me: Rock, them: Scissors value: 7
line 461: me: Z, them: A me: Scissors, them: Rock value: 3
line 462: me: Z, them: C me: Scissors, them: Scissors value: 6
line 463: me: Z, them: C me: Scissors, them: Scissors value: 6
line 464: me: Z, them: C me: Scissors, them: Scissors value: 6
line 465: me: Z, them: A me: Scissors, them: Rock value: 3
line 466: me: Y, them: B me: Paper, them: Paper value: 5
line 467: me: X, them: C me: Rock, them: Scissors value: 7
line 468: me: Y, them: B me: Paper, them: Paper value: 5
line 469: me: X, them: C me: Rock, them: Scissors value: 7
line 470: me: Z, them: C me: Scissors, them: Scissors value: 6
line 471: me: Y, them: B me: Paper, them: Paper value: 5
line 472: me: X, them: C me: Rock, them: Scissors value: 7
line 473: me: X, them: C me: Rock, them: Scissors value: 7
line 474: me: Z, them: A me: Scissors, them: Rock value: 3
line 475: me: Z, them: A me: Scissors, them: Rock value: 3
line 476: me: X, them: C me: Rock, them: Scissors value: 7
line 477: me: Z, them: C me: Scissors, them: Scissors value: 6
line 478: me: X, them: C me: Rock, them: Scissors value: 7
line 479: me: Z, them: C me: Scissors, them: Scissors value: 6
line 480: me: Z, them: A me: Scissors, them: Rock value: 3
line 481: me: Y, them: A me: Paper, them: Rock value: 8
line 482: me: Z, them: C me: Scissors, them: Scissors value: 6
line 483: me: Z, them: C me: Scissors, them: Scissors value: 6
line 484: me: Y, them: A me: Paper, them: Rock value: 8
line 485: me: Y, them: B me: Paper, them: Paper value: 5
line 486: me: Y, them: B me: Paper, them: Paper value: 5
